"V1" "V2"
"1" "ENSG00000000003.14" 0
"2" "ENSG00000000005.5" 1
"3" "ENSG00000000419.12" 0
"4" "ENSG00000000457.13" 45
"5" "ENSG00000000460.16" 160
"6" "ENSG00000000938.12" 0
"7" "ENSG00000000971.15" 28
"8" "ENSG00000001036.13" 17
"9" "ENSG00000001084.12" 16
"10" "ENSG00000001167.14" 4
"11" "ENSG00000001460.17" 34
"12" "ENSG00000001461.16" 0
"13" "ENSG00000001497.16" 4
"14" "ENSG00000001561.6" 0
"15" "ENSG00000001617.11" 416
"16" "ENSG00000001626.15" 0
"17" "ENSG00000001629.9" 0
"18" "ENSG00000001630.16" 5
"19" "ENSG00000001631.15" 55
"20" "ENSG00000002016.17" 18
"21" "ENSG00000002079.14" 23
"22" "ENSG00000002330.13" 11
"23" "ENSG00000002549.12" 3
"24" "ENSG00000002586.19" 0
"25" "ENSG00000002586.19_PAR_Y" 0
"26" "ENSG00000002587.9" 4
"27" "ENSG00000002726.20" 10
"28" "ENSG00000002745.12" 0
"29" "ENSG00000002746.14" 0
"30" "ENSG00000002822.15" 4
"31" "ENSG00000002834.17" 11
"32" "ENSG00000002919.14" 0
"33" "ENSG00000002933.8" 335
"34" "ENSG00000003056.7" 9
"35" "ENSG00000003096.14" 0
"36" "ENSG00000003137.8" 0
"37" "ENSG00000003147.18" 0
"38" "ENSG00000003249.13" 54
"39" "ENSG00000003393.14" 0
"40" "ENSG00000003400.14" 0
"41" "ENSG00000003402.19" 10
"42" "ENSG00000003436.15" 81
"43" "ENSG00000003509.15" 55
"44" "ENSG00000003756.16" 11
"45" "ENSG00000003987.13" 89
"46" "ENSG00000003989.17" 27
"47" "ENSG00000004059.10" 15
"48" "ENSG00000004139.13" 2907
"49" "ENSG00000004142.11" 177
"50" "ENSG00000004399.12" 14
"51" "ENSG00000004455.16" 0
"52" "ENSG00000004468.12" 0
"53" "ENSG00000004478.7" 75
"54" "ENSG00000004487.16" 47
"55" "ENSG00000004534.14" 0
"56" "ENSG00000004660.14" 0
"57" "ENSG00000004700.15" 134
"58" "ENSG00000004766.16" 0
"59" "ENSG00000004776.12" 5
"60" "ENSG00000004777.18" 13
"61" "ENSG00000004779.9" 1
"62" "ENSG00000004799.7" 12
