"","X10619_tumor.printed_rna"
"A1BG",8
"A1BG-AS1",69393
"A1CF",15
"A2M",74
"A2M-AS1",18082
"A2ML1",1
"A2ML1-AS1",39
"A2ML1-AS2",0
"A2MP1",36
"A3GALT2",0
"A4GALT",0
"A4GNT",0
"AA06",0
"AAAS",542
"AACS",0
"AACSP1",0
"AADAC",3
"AADACL2",2
"AADACL2-AS1",2
"AADACL3",0
"AADACL4",0
"AADACP1",0
"AADAT",1
"AAGAB",0
"AAK1",13
"AAMDC",9
"AAMP",3
"AANAT",2
"AAR2",0
"AARD",0
"AARS",6
"AARS2",0
"AARSD1",0
"AARSP1",0
"AASDH",0
"AASDHPPT",7
"AASS",1
"AATBC",81
"AATF",0
"AATK",297
"AB015752.1",0
"ABALON",1536
"ABAT",74
"ABBA01000935.1",0
"ABBA01000935.2",0
"ABBA01006766.1",0
"ABBA01026962.1",0
"ABCA1",16
"ABCA10",3
"ABCA11P",0
"ABCA12",0
"ABCA13",0
"ABCA17P",7
"ABCA2",24
"ABCA3",3
"ABCA4",11
"ABCA5",0
"ABCA6",0
"ABCA7",0
"ABCA8",12
"ABCA9",4
"ABCA9-AS1",121
"ABCB1",3
"ABCB10",0
"ABCB10P1",0
"ABCB10P3",1
"ABCB10P4",0
"ABCB11",0
"ABCB4",245
"ABCB5",0
"ABCB6",1
"ABCB7",0
"ABCB8",1
"ABCB9",2593
"ABCC1",0
"ABCC10",4
"ABCC11",821
"ABCC12",0
"ABCC13",0
"ABCC2",8
"ABCC3",18
"ABCC4",0
"ABCC5",0
"ABCC5-AS1",1
"ABCC6",0
"ABCC6P1",0
"ABCC6P2",0
"ABCC8",0
"ABCC9",16
"ABCD1",11
"ABCD1P2",0
"ABCD1P3",0
"ABCD1P4",0
"ABCD1P5",0
"ABCD2",0
"ABCD3",1
"ABCD4",7
"ABCE1",26
"ABCF1",0
"ABCF2",0
"ABCF2P1",0
"ABCF2P2",0
"ABCF3",0
"ABCG1",0
"ABCG2",3
"ABCG4",0
"ABCG5",84
"ABCG8",650
"ABHD1",1172
"ABHD10",0
"ABHD11",8
"ABHD11-AS1",319
"ABHD12",400
"ABHD12B",3544
"ABHD13",6
"ABHD14A",465
"ABHD14A-ACY1",2
"ABHD14B",30
"ABHD15",105
"ABHD15-AS1",43
"ABHD16A",0
"ABHD16B",247
"ABHD17A",9
"ABHD17AP1",222
"ABHD17AP3",1
"ABHD17AP4",0
"ABHD17AP5",0
"ABHD17AP6",0
"ABHD17AP7",0
"ABHD17AP8",0
"ABHD17AP9",0
"ABHD17B",0
"ABHD17C",3
"ABHD18",4
"ABHD2",37
"ABHD3",0
"ABHD4",6
"ABHD5",20
"ABHD6",4
"ABHD8",6
"ABI1",3
"ABI1P1",0
"ABI2",6700
"ABI3",1
"ABI3BP",1141
"ABL1",2
"ABL2",474
"ABLIM1",0
"ABLIM2",0
"ABLIM3",2
"ABO",0
"ABR",0
"ABRA",2
"ABRACL",0
"ABRAXAS1",201
"ABRAXAS2",4
"ABT1",2
"ABT1P1",1
"ABTB1",0
"ABTB2",262
"AC000032.1",0
"AC000035.1",0
"AC000036.1",0
"AC000041.1",0
"AC000058.1",0
"AC000061.1",0
"AC000067.1",0
"AC000068.1",11
"AC000068.2",360
"AC000068.3",30
"AC000077.1",0
"AC000078.1",8
"AC000081.1",0
"AC000089.1",1
"AC000095.1",8
"AC000095.2",0
"AC000099.1",2
"AC000111.1",0
"AC000111.2",0
"AC000120.1",0
"AC000120.2",0
"AC000120.3",0
"AC000123.1",51
"AC000123.2",0
"AC000123.3",0
"AC000124.1",2
"AC000362.1",0
"AC000367.1",0
"AC000372.1",0
"AC000374.1",2
"AC000403.1",0
"AC001226.1",0
"AC001226.2",133
"AC001228.1",0
"AC001228.2",0
"AC002044.1",0
"AC002044.2",0
"AC002044.3",0
"AC002056.1",0
"AC002056.2",1
"AC002056.3",0
"AC002059.1",0
"AC002059.2",6
"AC002064.1",0
"AC002064.2",11
"AC002064.3",0
"AC002066.1",0
"AC002069.1",0
"AC002069.2",0
"AC002070.1",158
"AC002074.1",2
"AC002074.2",0
"AC002075.1",0
"AC002075.2",0
"AC002076.1",0
"AC002076.2",0
"AC002090.1",0
"AC002091.1",0
"AC002091.2",0
"AC002094.1",0
"AC002094.2",90
"AC002094.3",0
"AC002094.4",0
"AC002094.5",1
"AC002101.1",0
"AC002115.1",0
"AC002116.1",0
"AC002116.2",7
"AC002127.1",0
"AC002127.2",0
"AC002128.1",20
"AC002128.2",1743
"AC002306.1",0
"AC002310.1",36
"AC002310.2",157
"AC002310.3",1
"AC002310.4",0
"AC002310.5",0
"AC002310.6",340
"AC002347.1",0
"AC002347.2",113
"AC002350.1",150
"AC002351.1",0
"AC002366.1",0
"AC002367.1",0
"AC002368.1",0
"AC002375.1",0
"AC002378.1",0
"AC002381.1",0
"AC002383.1",0
"AC002386.1",0
"AC002398.1",54
"AC002398.2",16
"AC002400.1",31
"AC002401.1",471
"AC002401.2",10
"AC002401.3",6
"AC002401.4",0
"AC002407.1",0
"AC002428.1",0
"AC002428.2",0
"AC002429.1",0
"AC002429.2",0
"AC002451.1",1
"AC002451.2",0
"AC002454.1",6
"AC002456.1",9
"AC002456.2",0
"AC002460.1",0
"AC002463.1",0
"AC002464.1",0
"AC002465.1",0
"AC002467.1",21
"AC002470.1",0
"AC002470.2",0
"AC002472.1",0
"AC002472.2",26
"AC002472.3",1
"AC002472.4",0
"AC002480.1",1
"AC002480.2",0
"AC002486.1",0
"AC002486.2",0
"AC002487.1",0
"AC002504.1",0
"AC002511.1",0
"AC002511.2",0
"AC002511.3",0
"AC002519.1",0
"AC002519.2",0
"AC002524.1",0
"AC002525.1",0
"AC002540.1",2682
"AC002542.1",0
"AC002543.1",57
"AC002545.1",0
"AC002546.1",0
"AC002550.1",112
"AC002550.2",114
"AC002551.1",0
"AC002553.1",56
"AC002553.2",10
"AC002558.1",0
"AC002558.2",105
"AC002558.3",0
"AC002563.1",24
"AC002984.1",0
"AC002985.1",0
"AC002996.1",0
"AC003001.1",0
"AC003001.2",0
"AC003002.1",0
"AC003002.2",0
"AC003002.3",1
"AC003005.1",0
"AC003005.2",0
"AC003006.1",0
"AC003009.1",0
"AC003035.1",0
"AC003035.2",0
"AC003042.1",0
"AC003042.2",0
"AC003043.1",0
"AC003043.2",0
"AC003045.1",0
"AC003070.1",0
"AC003070.2",0
"AC003070.3",0
"AC003070.4",0
"AC003070.5",0
"AC003070.6",0
"AC003070.7",0
"AC003071.1",1
"AC003071.2",1
"AC003072.1",0
"AC003080.1",0
"AC003084.1",0
"AC003087.1",0
"AC003092.1",0
"AC003092.2",0
"AC003098.1",0
"AC003101.1",0
"AC003101.2",2
"AC003101.3",244
"AC003102.1",0
"AC003103.1",0
"AC003103.2",0
"AC003659.1",0
"AC003666.1",0
"AC003669.1",0
"AC003681.1",2261
"AC003682.1",0
"AC003684.1",0
"AC003685.1",0
"AC003685.2",0
"AC003686.1",0
"AC003687.1",0
"AC003688.1",0
"AC003688.2",14
"AC003950.1",0
"AC003956.1",6
"AC003957.1",2
"AC003958.1",0
"AC003958.2",0
"AC003958.3",0
"AC003958.4",0
"AC003958.5",0
"AC003965.1",0
"AC003965.2",0
"AC003965.3",0
"AC003973.1",0
"AC003973.2",0
"AC003973.3",0
"AC003975.1",0
"AC003976.1",0
"AC003976.2",0
"AC003982.1",0
"AC003984.1",0
"AC003985.1",0
"AC003985.2",0
"AC003986.1",0
"AC003986.2",0
"AC003986.3",0
"AC003988.1",0
"AC003989.1",60
"AC003989.2",8
"AC003991.1",220
"AC003991.2",64
"AC003992.1",0
"AC004000.1",2
"AC004004.1",0
"AC004006.1",0
"AC004009.1",0
"AC004009.2",0
"AC004009.3",0
"AC004012.1",0
"AC004014.1",0
"AC004014.2",1
"AC004022.1",27
"AC004022.2",0
"AC004023.1",0
"AC004024.1",0
"AC004034.1",111
"AC004039.1",20
"AC004052.1",0
"AC004053.1",2
"AC004054.1",0
"AC004057.1",0
"AC004062.1",0
"AC004063.1",0
"AC004066.1",0
"AC004066.2",0
"AC004067.1",2
"AC004069.1",0
"AC004069.2",0
"AC004074.1",0
"AC004076.1",0
"AC004076.2",12
"AC004080.1",0
"AC004080.2",0
"AC004080.3",0
"AC004080.4",0
"AC004080.5",0
"AC004080.6",0
"AC004099.1",0
"AC004112.1",174
"AC004129.1",0
